,Unnamed: 0,Unnamed: 0.1,State,State_Abr,Zip Code,County,City,Street,Lat,Lon,Features,Trulia Est,History Events,Property Events,Beds,Baths,Sqft,Price_Per_Sqft,Year Built
438,438,438,California,CA,95060,Santa Cruz County,Santa Cruz,107 Carbonera Ct,37.0020982,-122.0195017,3 Beds;2 Baths;1%902 sqft;Single Family Home;$234/sqft;8%407 sqft lot size;Built in 1986;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%024%462,10/20/1999:$445%000:Sold,Year:2018;Tax:$7%022;Assessment:;Land:$360%668;Improvements:$240%444;Total:$601%112,3 Beds,2 Baths,1%902 sqft,$234/sqft,Built in 1986
439,439,439,California,CA,95060,Santa Cruz County,Santa Cruz,117 Carbonera Ct,37.001789,-122.018898,Single Family Home;Lot Size: 8%451 sqft;$16/monthly HOA;Built in 1987;Rooms: Dining Room% Walk In Closet;Heating: Forced Air;Heating Fuel: Gas;Dishwasher;Disposal;Floors: Carpet% Tile;Great Views;Vaulted Ceiling;Jetted Bath Tub;Garage;Cable Ready;Luxury;Roof: Composition;MLS/Source ID: ML81673118;,$1%456%955,10/20/2017:$995%000:Sold;04/27/2017:$950%000:Sold,Year:2018;Tax:$6%080;Assessment:;Land:$259%621;Improvements:$245%587;Total:$505%208,?,?,?,?,Built in 1987
440,440,440,California,CA,95060,Santa Cruz County,Santa Cruz,121 Carbonera Ct,37.00158,-122.018975,Single Family Home;Lot Size: 0.34 acres;Built in 1984;MLS/Source ID: ML81614171;,$969%130,11/09/2016:$900%000:Sold;10/26/2016:$939%000:Posting Removed;09/13/2016:$939%000:Listed For Sale,Year:2018;Tax:$10%547;Assessment:;Land:$642%600;Improvements:$275%400;Total:$918%000,?,?,?,?,Built in 1984
441,441,441,California,CA,95060,Santa Cruz County,Santa Cruz,101 Carbonera Dr,37.0019,-122.02,Single Family Home;Lot Size: 0.62 acres;Built in 1985;MLS/Source ID: ML81521329;,$1%028%408,05/19/2016:$865%000:Posting Removed;05/17/2016:$830%000:Sold;04/11/2016:$865%000:Pending;03/17/2016:$865%000:Price Change:$10%000: (-1%);02/27/2016:$875%000:Pending to Active Status;02/13/2016:$875%000:Pending;02/05/2016:$875%000:Price Change:$24%000: (-3%);01/05/2016:$899%000:Price Change:$40%000: (-4%);12/10/2015:$939%000:Price Change:$26%000: (-3%);11/03/2015:$965%000:Listed For Sale;03/04/1996:$145%000:Sold,Year:2018;Tax:$10%019;Assessment:;Land:$518%119;Improvements:$345%413;Total:$863%532,?,?,?,?,Built in 1985
442,442,442,California,CA,95060,Santa Cruz County,Santa Cruz,102 Carbonera Dr,37.00144179999999,-122.0203677,Single Family Home;Lot Size: 0.26 acres;Built in 1977;Rooms: Bedroom% Bedroom% Bedroom;Heating: Fireplace% Fireplace% Fireplace% Forced Air% Stove;Heating Fuel: Natural Gas;Refrigerator;Fireplace;Wet Bar;Parking: Garage Attached;Intercom;Contemporary Architecture;Exterior: Wood;Roof: Composition Shingle;Deck;MLS/Source ID: 81319157;,$1%429%505,07/12/2013:$859%000:Sold;07/09/2013:$899%000:Posting Removed;06/04/2013:$899%000:Listed For Sale;01/15/1998:$390%000:Sold,Year:2018;Tax:$10%707;Assessment:;Land:$555%277;Improvements:$370%184;Total:$925%461,?,?,?,?,Built in 1977
443,443,443,California,CA,95060,Santa Cruz County,Santa Cruz,106 Carbonera Dr,37.00136,-122.0200124,3 Beds;2.5 Baths;3%857 sqft;Single Family Home;$311/sqft;0.56 acres lot size;Built in 1981;County: Santa Cruz;Tax Rate Code Area: 1-032;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%561%505,04/27/2007:$1%200%000:Sold;04/26/2007:$1%250%000:Posting Removed;02/18/2007:$1%250%000:Listed For Sale,Year:2018;Tax:$16%130;Assessment:;Land:$706%499;Improvements:$706%499;Total:$1%412%998,3 Beds,2.5 Baths,3%857 sqft,$311/sqft,Built in 1981
444,444,444,California,CA,95060,Santa Cruz County,Santa Cruz,110 Carbonera Dr,37.0012138,-122.0197459,3 Beds;2 Baths;3%179 sqft;Single Family Home;$275/sqft;0.51 acres lot size;Built in 1979;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 3;Units: 1;Stories: 2 story;Contemporary;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%446%533,05/07/2010:$874%000:Sold;11/21/1996:$400%000:Sold,Year:2018;Tax:$11%442;Assessment:;Land:$594%914;Improvements:$396%610;Total:$991%524,3 Beds,2 Baths,3%179 sqft,$275/sqft,Built in 1979
445,445,445,California,CA,95060,Santa Cruz County,Santa Cruz,114 Carbonera Dr,37.00106760000001,-122.0194795,Single Family Home;Lot Size: 0.77 acres;Built in 1993;MLS/Source ID: 81023252;,$2%145%752,03/19/2012:$829%000:Posting Removed;09/08/2010:$825%000:Sold;07/14/2010:$829%000:Pending;05/12/2010:$829%000:Price Change:$70%000: (-8%);12/19/2009:$899%000:Price Change:$40%000: (5%);05/22/2009:$859%000:Price Change:$40%000: (-4%);11/12/2008:$899%000:Listed For Sale;09/12/2003:$816%000:Sold;01/05/1999:$540%000:Sold;06/02/1994:$438%000:Sold,Year:2018;Tax:$10%746;Assessment:;Land:$371%575;Improvements:$557%363;Total:$928%938,?,?,?,?,Built in 1993
446,446,446,California,CA,95060,Santa Cruz County,Santa Cruz,118 Carbonera Dr,37.0013078,-122.0186801,Single Family Home;Lot Size: 1.08 acres;Built in 1993;Parking: Attached Electric Door Or Gate Opener Guest Parking 2 Car Garage Off Street Parking;Detached Single Family% 2 Stories% Contemporary Architecture;MLS/Source ID: 81116008;,$1%481%388,07/12/2011:$735%500:Sold;07/03/2011:$769%000:Posting Removed;04/14/2011:$769%000:Listed For Sale;11/14/2005:$1%218%000:Sold;10/17/1995:$450%000:Sold,Year:2018;Tax:$9%439;Assessment:;Land:$486%823;Improvements:$324%549;Total:$811%372,?,?,?,?,Built in 1993
447,447,447,California,CA,95060,Santa Cruz County,Santa Cruz,122 Carbonera Dr,37.001245,-122.018221,Single Family Home;Lot Size: 0.49 acres;Built in 1990;MLS/Source ID: 81028451;See Virtual Tour,$1%458%579,03/25/2011:$875%000:Posting Removed;03/16/2011:$712%000:Sold;02/10/2011:$875%000:Listed For Sale;12/15/2010:$875%000:Posting Removed;06/15/2010:$875%000:Listed For Sale;11/30/2008:$997%500:Posting Removed;09/28/2008:$997%500:Price Change:$500: (-0%);07/10/2008:$998%000:Listed For Sale;04/23/2006:$1%199%000:Sold;04/19/2002:$732%500:Sold,Year:2018;Tax:$9%331;Assessment:;Land:$280%595;Improvements:$521%106;Total:$801%701,?,?,?,?,Built in 1990
448,448,448,California,CA,95060,Santa Cruz County,Santa Cruz,123 Carbonera Dr,37.001945,-122.0181916,Single Family Home;Lot Size: 0.54 acres;Built in 1985;Parking: Carport;MLS/Source ID: ML81451111;,$1%147%229,04/30/2015:$899%000:Posting Removed;04/30/2015:$845%000:Sold;04/01/2015:$899%000:Pending;03/09/2015:$899%000:Price Change:$26%000: (-3%);02/18/2015:$925%000:Listed For Sale;05/04/2009:$710%000:Sold;06/07/2005:$862%000:Sold;11/18/1999:$590%000:Sold;07/26/1994:$377%000:Sold,Year:2018;Tax:$10%341;Assessment:;Land:$535%527;Improvements:$357%018;Total:$892%545,?,?,?,?,Built in 1985
449,449,449,California,CA,95060,Santa Cruz County,Santa Cruz,127 Carbonera Dr,37.0022537,-122.0177919,Single Family Home;Lot Size: 0.42 acres;Built in 1984;,$1%088%507,02/20/2008:$740%000:Sold,Year:2018;Tax:$9%834;Assessment:;Land:$490%626;Improvements:$363%294;Total:$853%920,?,?,?,?,Built in 1984
450,450,450,California,CA,95060,Santa Cruz County,Santa Cruz,202 Carbonera Dr,37.001321,-122.0169758,Single Family Home;Lot Size: 0.37 acres;Built in 1990;8 Rooms;Rooms: Breakfast Nook% Dining Room% Family Room% Laundry Room% Library% Pantry% Walk In Closet;Heating: Forced Air;Heating Fuel: Electric;Washer;Dryer;Refrigerator;Microwave;Dishwasher;Disposal;Floors: Carpet% Hardwood% Laminate% Linoleum Vinyl% Tile;Great Views;Fireplace;Double Paned Windows;Jetted Bath Tub;Garage;Parking Spaces: 2;Attic;Cable Ready;Contemporary Architecture;Luxury;Stories: 2;Exterior: Wood;Roof: Composition;Year Updated: 1990;Deck;Garden;MLS/Source ID: ML81671507;See Virtual Tour,$1%129%958,05/23/2018:$998%000:Sold,Year:2018;Tax:$8%236;Assessment:;Land:$287%522;Improvements:$422%738;Total:$710%260,?,?,?,?,Built in 1990
451,451,451,California,CA,95060,Santa Cruz County,Santa Cruz,210 Carbonera Dr,37.0009678,-122.0165484,3 Beds;2.5 Baths;3%142 sqft;Single Family Home;$247/sqft;0.34 acres lot size;Built in 1988;County: Santa Cruz;Tax Rate Code Area: 1-032;Parking: Carport;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%394%607,12/28/2001:$775%000:Sold;07/21/1998:$600%000:Sold,Year:2018;Tax:$11%749;Assessment:;Land:$603%738;Improvements:$422%422;Total:$1%026%160,3 Beds,2.5 Baths,3%142 sqft,$247/sqft,Built in 1988
452,452,452,California,CA,95060,Santa Cruz County,Santa Cruz,222 Carbonera Dr,37.0003027,-122.0157489,4 Beds;2.5 Baths;2%762 sqft;Single Family Home;$30/sqft;0.41 acres lot size;Built in 1999;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%361%525,01/13/1998:$83%000:Sold,Year:2018;Tax:$10%300;Assessment:;Land:$405%244;Improvements:$483%590;Total:$888%834,4 Beds,2.5 Baths,2%762 sqft,?,Built in 1999
453,453,453,California,CA,95060,Santa Cruz County,Santa Cruz,232 Carbonera Dr,36.9996197,-122.0152604,Single Family Home;Lot Size: 0.37 acres;Built in 1988;7 Rooms;Heating: Other;Cooling System: Central;Air Conditioning;Garage;Parking Spaces: 1;Year Updated: 1988;MLS/Source ID: ML81672323;See Virtual Tour,$1%324%992,09/15/2017:$987%000:Sold;09/08/2017:$997%000:Posting Removed;08/18/2017:$997%000:Pending;08/01/2017:$997%000:Listed For Sale;08/01/2017:$987%000:Sold;01/28/2014:$865%000:Sold;01/02/2014:$879%000:Posting Removed;11/01/2013:$879%000:Listed For Sale,Year:2018;Tax:$11%392;Assessment:;Land:$493%500;Improvements:$493%500;Total:$987%000,?,?,?,?,Built in 1988
454,454,454,California,CA,95060,Santa Cruz County,Santa Cruz,407 Carbonera Dr,36.999307,-122.012652,3 Beds;2.5 Baths;3%011 sqft;Single Family Home;$166/sqft;10%149 sqft lot size;Built in 1979;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%253%857,10/07/1997:$500%000:Sold,Year:2018;Tax:$7%841;Assessment:;Land:$266%640;Improvements:$435%040;Total:$701%680,3 Beds,2.5 Baths,3%011 sqft,$166/sqft,Built in 1979
455,455,455,California,CA,95060,Santa Cruz County,Santa Cruz,413 Carbonera Dr,36.9992801,-122.0123736,4 Beds;2.5 Baths;3%006 sqft;Single Family Home;$175/sqft;0.29 acres lot size;Built in 1989;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 3;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%354%392,04/17/1995:$525%000:Sold;10/04/1994:$265%000:Sold,Year:2018;Tax:$8%957;Assessment:;Land:$387%518;Improvements:$387%518;Total:$775%036,4 Beds,2.5 Baths,3%006 sqft,$175/sqft,Built in 1989
456,456,456,California,CA,95060,Santa Cruz County,Santa Cruz,503 Carbonera Dr,36.999172,-122.0113521,2 Baths;2%464 sqft;Single Family Home;$316/sqft;0.26 acres lot size;Built in 1969;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Stories: 1 story;Construction Type: Frame;Contemporary;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%106%677,04/13/2001:$778%000:Sold;03/17/1999:$421%500:Sold,Year:2018;Tax:$11%796;Assessment:;Land:$618%196;Improvements:$412%129;Total:$1%030%325,?,2 Baths,2%464 sqft,$316/sqft,Built in 1969
457,457,457,California,CA,95060,Santa Cruz County,Santa Cruz,508 Carbonera Dr,36.998624,-122.0111,Single Family Home;Lot Size: 0.36 acres;Built in 1965;Parking: Attached Electric Door Or Gate Opener 2 Car Garage;Detached Single Family% 1 Story% Mediterranean Architecture;MLS/Source ID: 81023237;,$1%104%418,09/27/2010:$760%000:Sold;08/20/2010:$760%000:Posting Removed;07/09/2010:$799%000:Price Change:$40%000: (-5%);05/14/2010:$839%000:Listed For Sale;11/04/2005:$890%000:Sold,Year:2018;Tax:$9%932;Assessment:;Land:$427%874;Improvements:$427%874;Total:$855%748,?,?,?,?,Built in 1965
458,458,458,California,CA,95060,Santa Cruz County,Santa Cruz,509 Carbonera Dr,36.9991656,-122.0109968,4 Beds;2 Baths;2%172 sqft;Single Family Home;10%367 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Floor/Wall;Parking: Carport;Parking Spaces: 1;Units: 1;Roof: Shingle (Not Wood);Land Use Code: Single Family Residential;,$1%074%220,12/12/1995:$14%000:Sold,Year:2018;Tax:$2%857;Assessment:;Land:$117%092;Improvements:$136%447;Total:$253%539,4 Beds,2 Baths,2%172 sqft,?,Built in 1963
459,459,459,California,CA,95060,Santa Cruz County,Santa Cruz,514 Carbonera Dr,36.9987054,-122.0107081,4 Beds;4 Baths;2%790 sqft;Single Family Home;$305/sqft;0.33 acres lot size;Built in 1970;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%369%516,07/31/2009:$850%000:Sold;12/28/1993:$365%000:Sold,Year:2018;Tax:$11%139;Assessment:;Land:$368%700;Improvements:$595%593;Total:$964%293,4 Beds,4 Baths,2%790 sqft,$305/sqft,Built in 1970
460,460,460,California,CA,95060,Santa Cruz County,Santa Cruz,101 Cardiff Ct,36.97523,-122.050233,3 Beds;2.5 Baths;1%732 sqft;Townhouse;$173/sqft;5%184 sqft lot size;Built in 1976;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$945%130,06/19/1998:$300%000:Sold,Year:2018;Tax:$5%011;Assessment:;Land:$252%605;Improvements:$168%401;Total:$421%006,3 Beds,2.5 Baths,1%732 sqft,$173/sqft,Built in 1976
461,461,461,California,CA,95060,Santa Cruz County,Santa Cruz,103 Cardiff Ct,36.975224,-122.05041,Townhouse;Lot Size: 5%009 sqft;Built in 1976;Washer;Dryer;Garage;,$1%313%039,07/17/2009:$684%000:Sold,Year:2018;Tax:$9%037;Assessment:;Land:$425%424;Improvements:$350%550;Total:$775%974,?,?,?,?,Built in 1976
462,462,462,California,CA,95060,Santa Cruz County,Santa Cruz,105 Cardiff Ct,36.9752365,-122.0505623,Townhouse;Lot Size: 5%532 sqft;Built in 1977;MLS/Source ID: 80821881;,$1%314%524,09/19/2008:$789%000:Posting Removed;09/18/2008:$725%000:Sold;07/24/2008:$789%000:Listed For Sale,Year:2018;Tax:$9%533;Assessment:;Land:$481%005;Improvements:$339%533;Total:$820%538,?,?,?,?,Built in 1977
463,463,463,California,CA,95060,Santa Cruz County,Santa Cruz,106 Cardiff Ct,36.9755736,-122.0506955,Single Family Home;Lot Size: 5%837 sqft;Built in 1984;Detached Single Family% 2 Stories% Contemporary Architecture;MLS/Source ID: 81335867;,$1%354%896,12/10/2013:$777%000:Sold;11/20/2013:$799%000:Posting Removed;10/25/2013:$799%000:Pending;10/10/2013:$799%000:Price Change:$36%500: (-4%);09/29/2013:$835%500:Listed For Sale;01/16/2004:$730%000:Sold;05/02/2000:$495%000:Sold;05/30/1996:$335%000:Sold,Year:2018;Tax:$9%725;Assessment:;Land:$502%270;Improvements:$334%847;Total:$837%117,?,?,?,?,Built in 1984
464,464,464,California,CA,95060,Santa Cruz County,Santa Cruz,107 Cardiff Ct,36.975169,-122.050791,3 Beds;3 Baths;1%980 sqft;Townhouse;$137/sqft;5%053 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$1%053%684,04/13/1995:$272%000:Sold,Year:2018;Tax:$4%795;Assessment:;Land:$200%772;Improvements:$200%772;Total:$401%544,3 Beds,3 Baths,1%980 sqft,$137/sqft,Built in 1977
465,465,465,California,CA,95060,Santa Cruz County,Santa Cruz,108 Cardiff Ct,36.9755956,-122.0508731,Single Family Home;Lot Size: 5%837 sqft;Built in 1978;9 Rooms;Rooms: Dining Room;Heating: Forced Air;Heating Fuel: Gas;Refrigerator;Dishwasher;Disposal;Floors: Carpet% Hardwood% Tile;Fireplace;Vaulted Ceiling;Garage;Parking Spaces: 2;Barbeque Area;Cable Ready;Contemporary Architecture;Roof: Composition;Year Updated: 2006;Patio;Porch;Deck;Lawn;Garden;Pond;MLS/Source ID: ML81698600;See Virtual Tour,$1%339%974,05/14/2018:$1%350%000:Sold;06/09/2009:$825%000:Sold;10/18/2006:$996%000:Sold;04/26/2006:$805%000:Sold;01/02/2004:$650%000:Sold;04/28/1995:$339%000:Sold,Year:2018;Tax:$10%721;Assessment:;Land:$509%298;Improvements:$424%416;Total:$933%714,?,?,?,?,Built in 1978
466,466,466,California,CA,95060,Santa Cruz County,Santa Cruz,109 Cardiff Ct,36.975155,-122.050944,Townhouse;Lot Size: 5%053 sqft;Built in 1977;MLS/Source ID: 80941766;,$982%280,11/03/2009:$692%000:Sold;05/05/2000:$374%000:Sold,Year:2018;Tax:$9%059;Assessment:;Land:$470%995;Improvements:$313%996;Total:$784%991,?,?,?,?,Built in 1977
467,467,467,California,CA,95060,Santa Cruz County,Santa Cruz,110 Cardiff Ct,36.9759399,-122.0512747,Single Family Home;Lot Size: 0.26 acres;Built in 1978;,$1%486%592,07/11/2008:$1%225%000:Sold;06/21/2002:$870%000:Sold,Year:2018;Tax:$16%237;Assessment:;Land:$808%086;Improvements:$617%382;Total:$1%425%468,?,?,?,?,Built in 1978
468,468,468,California,CA,95060,Santa Cruz County,Santa Cruz,111 Cardiff Ct,36.9751516,-122.0510951,Single Family Home;Lot Size: 5%053 sqft;Built in 1977;,$1%186%029,07/15/2008:$830%000:Sold;06/30/1994:$274%000:Sold,Year:2018;Tax:$10%862;Assessment:;Land:$481%005;Improvements:$458%369;Total:$939%374,?,?,?,?,Built in 1977
469,469,469,California,CA,95060,Santa Cruz County,Santa Cruz,113 Cardiff Ct,36.9751493,-122.0512283,Townhouse;Lot Size: 5%053 sqft;Built in 1976;,$1%224%483,11/30/2000:$545%000:Sold,Year:2018;Tax:$8%434;Assessment:;Land:$433%055;Improvements:$288%703;Total:$721%758,?,?,?,?,Built in 1976
470,470,470,California,CA,95060,Santa Cruz County,Santa Cruz,115 Cardiff Ct,36.9751092,-122.0513614,Townhouse;Lot Size: 5%097 sqft;$90/monthly HOA;Built in 1977;6 Rooms;Rooms: Breakfast Nook% Dining Room;Heating: Forced Air;Heating Fuel: Gas;Washer;Dryer;Refrigerator;Microwave;Dishwasher;Disposal;Floors: Hardwood% Tile;Great Views;Fireplace;Vaulted Ceiling;Double Paned Windows;Garage;Parking Spaces: 2;Security System;Tennis Court;Cable Ready;Ranch Architecture;Stories: 1;Roof: Composition;Year Updated: 1977;Patio;Deck;Sprinkler System;MLS/Source ID: ML81693209;See Virtual Tour,$1%047%419,05/25/2018:$1%069%000:Sold;05/29/2008:$660%000:Sold,Year:2018;Tax:$9%082;Assessment:;Land:$490%622;Improvements:$289%394;Total:$780%016,?,?,?,?,Built in 1977
471,471,471,California,CA,95060,Santa Cruz County,Santa Cruz,117 Cardiff Ct,36.97509350000001,-122.051539,3 Beds;3 Baths;1%980 sqft;Townhouse;$180/sqft;5%053 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Stories: 2 story;Construction Type: Frame;Contemporary;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$1%053%074,12/17/1998:$357%000:Sold,Year:2018;Tax:$5%877;Assessment:;Land:$295%132;Improvements:$196%754;Total:$491%886,3 Beds,3 Baths,1%980 sqft,$180/sqft,Built in 1977
472,472,472,California,CA,95060,Santa Cruz County,Santa Cruz,118 Cardiff Ct,36.9754725,-122.0514391,Single Family Home;Lot Size: 4%922 sqft;Built in 1979;Roof: Composition Shingle;Waterfront;MLS/Source ID: ML81592674;,$975%360,08/23/2016:$820%000:Sold;08/02/2004:$670%000:Sold;04/12/2002:$565%000:Sold;07/31/1998:$325%000:Sold,Year:2018;Tax:$9%717;Assessment:;Land:$585%480;Improvements:$250%920;Total:$836%400,?,?,?,?,Built in 1979
473,473,473,California,CA,95060,Santa Cruz County,Santa Cruz,119 Cardiff Ct,36.9751289,-122.0516722,Townhouse;Lot Size: 5%097 sqft;Built in 1977;MLS/Source ID: 81439824;See Virtual Tour,$1%152%372,03/13/2015:$775%000:Sold;01/27/2015:$786%000:Posting Removed;11/10/2014:$786%000:Listed For Sale;03/07/2013:$675%000:Sold;02/18/2013:$659%000:Posting Removed;01/29/2013:$659%000:Listed For Sale,Year:2018;Tax:$9%598;Assessment:;Land:$491%164;Improvements:$335%242;Total:$826%406,?,?,?,?,Built in 1977
474,474,474,California,CA,95060,Santa Cruz County,Santa Cruz,101 Cardiff Pl,36.9745778,-122.0501183,Townhouse;Lot Size: 5%009 sqft;Built in 1977;Garage;Cable / Satellite;Garden;MLS/Source ID: 81203939;,$1%047%005,05/17/2012:$607%050:Posting Removed;05/17/2012:$595%000:Sold;03/19/2012:$607%050:Price Change:$31%950: (-5%);02/03/2012:$639%000:Listed For Sale;10/07/2011:$649%000:Posting Removed;09/27/2011:$625%000:Sold;08/27/2011:$649%000:Price Change:$50%000: (-7%);06/02/2011:$699%000:Listed For Sale;06/19/2007:$830%000:Sold;02/26/2004:$710%000:Sold,Year:2018;Tax:$7%634;Assessment:;Land:$436%043;Improvements:$220%781;Total:$656%824,?,?,?,?,Built in 1977
475,475,475,California,CA,95060,Santa Cruz County,Santa Cruz,103 Cardiff Pl,36.9746767,-122.0501576,3 Beds;3 Baths;1%980 sqft;Single Family Home;$391/sqft;4%966 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%312%234,08/30/2004:$775%000:Sold,Year:2018;Tax:$10%896;Assessment:;Land:$612%536;Improvements:$336%894;Total:$949%430,3 Beds,3 Baths,1%980 sqft,$391/sqft,Built in 1977
476,476,476,California,CA,95060,Santa Cruz County,Santa Cruz,105 Cardiff Pl,36.9748023,-122.0502292,Townhouse;Lot Size: 5%053 sqft;Built in 1977;MLS/Source ID: 218049448;,$1%010%894,09/04/2011:$729%000:Posting Removed;07/30/2011:$729%000:Listed For Sale;06/28/2011:$729%000:Posting Removed;05/27/2011:$719%000:Sold;04/13/2011:$729%000:Listed For Sale;04/09/2004:$700%000:Sold,Year:2018;Tax:$9%486;Assessment:;Land:$523%583;Improvements:$292%756;Total:$816%339,?,?,?,?,Built in 1977
477,477,477,California,CA,95060,Santa Cruz County,Santa Cruz,109 Cardiff Pl,36.9749783,-122.0502293,3 Beds;3 Baths;1%980 sqft;Townhouse;$379/sqft;5%053 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Units: 1;Stories: 2 story;Construction Type: Frame;Ranch/Rambler;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$1%050%544,09/10/2004:$750%000:Sold,Year:2018;Tax:$10%548;Assessment:;Land:$551%282;Improvements:$367%519;Total:$918%801,3 Beds,3 Baths,1%980 sqft,$379/sqft,Built in 1977
478,478,478,California,CA,95060,Santa Cruz County,Santa Cruz,201 Cardiff Pl,36.9756027,-122.0504735,Single Family Home;Lot Size: 5%576 sqft;Built in 1980;,$1%115%439,05/12/2010:$685%000:Sold;05/05/2010:$699%000:Posting Removed;04/12/2010:$699%000:Price Change:$20%000: (-3%);02/25/2010:$719%000:Price Change:$30%500: (-4%);02/11/2010:$749%500:Listed For Sale;05/28/1998:$330%000:Sold,Year:2018;Tax:$9%057;Assessment:;Land:$425%424;Improvements:$351%684;Total:$777%108,?,?,?,?,Built in 1980
479,479,479,California,CA,95060,Santa Cruz County,Santa Cruz,207 Cardiff Pl,36.9757292,-122.0504291,3 Beds;2 Baths;1%692 sqft;Single Family Home;$324/sqft;6%011 sqft lot size;Built in 1979;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%037%328,11/13/2003:$549%000:Sold;11/29/1995:$254%000:Sold,Year:2018;Tax:$1%607;Assessment:;Land:$19%971;Improvements:$94%280;Total:$114%251,3 Beds,2 Baths,1%692 sqft,$324/sqft,Built in 1979
480,480,480,California,CA,95060,Santa Cruz County,Santa Cruz,213 Cardiff Pl,36.9758924,-122.0505482,3 Beds;2 Baths;1%565 sqft;Single Family Home;$200/sqft;6%011 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$993%338,05/04/1998:$312%500:Sold,Year:2018;Tax:$4%914;Assessment:;Land:$252%605;Improvements:$185%943;Total:$438%548,3 Beds,2 Baths,1%565 sqft,$200/sqft,Built in 1977
481,481,481,California,CA,95060,Santa Cruz County,Santa Cruz,215 Cardiff Pl,36.9759218,-122.0509175,Single Family Home;Lot Size: 0.27 acres;Built in 1977;MLS/Source ID: 81331108;,$1%304%849,06/16/2015:$925%000:Sold;09/09/2014:$949%000:Posting Removed;08/05/2014:$949%000:Price Change:$10%000: (-1%);05/20/2014:$959%000:Listed For Sale;02/17/2014:$975%000:Posting Removed;08/23/2013:$975%000:Listed For Sale,Year:2018;Tax:$11%281;Assessment:;Land:$586%228;Improvements:$390%818;Total:$977%046,?,?,?,?,Built in 1977
482,482,482,California,CA,95060,Santa Cruz County,Santa Cruz,219 Cardiff Pl,36.9761346,-122.0505702,3 Beds;2 Baths;1%723 sqft;Single Family Home;$354/sqft;6%578 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 1-032;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%053%067,06/22/2011:$610%000:Sold,Year:2018;Tax:$8%054;Assessment:;Land:$446%453;Improvements:$240%398;Total:$686%851,3 Beds,2 Baths,1%723 sqft,$354/sqft,Built in 1977
