,Unnamed: 0,State,State_Abr,Zip Code,County,City,Street,Lat,Lon,Features,Trulia Est,History Events,Property Events,Beds,Baths,Sqft,Price_Per_Sqft,Year Built
598,598,California,CA,95003,Santa Cruz County,Aptos,920 Clubhouse Dr,36.960409999999996,-121.87913999999999,3 Beds;2 Baths;1%476 sqft;Single Family Home;$398/sqft;9%322 sqft lot size;Built in 1961;County: Santa Cruz;Tax Rate Code Area: 69-273;7 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%049%339,05/30/2000:$587%500:Sold;03/25/1997:$266%000:Sold,Year:2018;Tax:$9%492;Assessment:;Land:$493%049;Improvements:$300%422;Total:$793%471,3 Beds,2 Baths,1%476 sqft,$398/sqft,Built in 1961
599,599,California,CA,95003,Santa Cruz County,Aptos,921 Clubhouse Dr,36.960029999999996,-121.87875,4 Beds;2.5 Baths;2%298 sqft;Single Family Home;$112/sqft;9%801 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 69-273;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%205%091,12/14/1994:$258%000:Sold,Year:2018;Tax:$5%033;Assessment:;Land:$190%439;Improvements:$190%439;Total:$380%878,4 Beds,2.5 Baths,2%298 sqft,$112/sqft,Built in 1963
600,600,California,CA,95003,Santa Cruz County,Aptos,950 Clubhouse Dr,36.96024,-121.87931,3 Beds;2 Baths;1%577 sqft;Single Family Home;$523/sqft;7%754 sqft lot size;Built in 1974;County: Santa Cruz;Tax Rate Code Area: 69-273;7 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Shingle (Not Wood);Land Use Code: Single Family Residential;,$1%083%486,12/02/2005:$790%000:Sold;09/14/2005:$825%000:Sold,Year:2018;Tax:$10%929;Assessment:;Land:$551%687;Improvements:$367%790;Total:$919%477,3 Beds,2 Baths,1%577 sqft,$523/sqft,Built in 1974
601,601,California,CA,95003,Santa Cruz County,Aptos,951 Clubhouse Dr,36.959720000000004,-121.8792,4 Beds;3.5 Baths;1%940 sqft;Single Family Home;$349/sqft;8%276 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 69-273;8 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Wood Shake/ Shingles;Land Use Code: Single Family Residential;,$1%241%199,03/12/2004:$678%000:Sold,Year:2018;Tax:$10%072;Assessment:;Land:$508%327;Improvements:$338%882;Total:$847%209,4 Beds,3.5 Baths,1%940 sqft,$349/sqft,Built in 1963
602,602,California,CA,95003,Santa Cruz County,Aptos,960 Clubhouse Dr,36.96012,-121.87951000000001,3 Beds;2 Baths;1%485 sqft;Single Family Home;$203/sqft;8%102 sqft lot size;Built in 1976;County: Santa Cruz;Tax Rate Code Area: 69-273;6 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Stories: 1 story;Contemporary;Roof: Wood Shake/ Shingles;Land Use Code: Single Family Residential;,$1%065%331,03/10/1998:$302%000:Sold;12/05/1996:$270%000:Sold,Year:2018;Tax:$5%497;Assessment:;Land:$252%605;Improvements:$171%208;Total:$423%813,3 Beds,2 Baths,1%485 sqft,$203/sqft,Built in 1976
603,603,California,CA,95003,Santa Cruz County,Aptos,970 Clubhouse Dr,36.96,-121.87973000000001,4 Beds;2.5 Baths;2%126 sqft;Single Family Home;$416/sqft;8%930 sqft lot size;Built in 1965;County: Santa Cruz;Tax Rate Code Area: 69-273;7 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Stories: 1 story;Construction Type: Frame;Contemporary;Roof: Wood Shake/ Shingles;Land Use Code: Single Family Residential;,$1%202%940,05/23/2014:$878%000:Sold;02/16/2007:$885%000:Sold;01/30/1998:$285%000:Sold,Year:2018;Tax:$11%215;Assessment:;Land:$568%852;Improvements:$377%080;Total:$945%932,4 Beds,2.5 Baths,2%126 sqft,$416/sqft,Built in 1965
604,604,California,CA,95003,Santa Cruz County,Aptos,975 Clubhouse Dr,36.95961,-121.87943,3 Beds;3 Baths;2%941 sqft;Single Family Home;$192/sqft;10%367 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 69-273;9 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Shingle (Not Wood);Land Use Code: Single Family Residential;,$1%321%183,07/16/2001:$565%000:Sold,Year:2018;Tax:$8%845;Assessment:;Land:$440%143;Improvements:$293%429;Total:$733%572,3 Beds,3 Baths,2%941 sqft,$192/sqft,Built in 1963
605,605,California,CA,95003,Santa Cruz County,Aptos,980 Clubhouse Dr,36.95987,-121.87997,Single Family Home;$448/sqft;Lot Size: 8%973 sqft;Built in 1965;Rooms: Dining Room% Laundry Room% Family Room% Living Room% Kitchen% Bedroom% Laundry Room;Fireplace;Ranch Architecture;Foundation Type: Concrete perimeter and slab;Roof: Tile;MLS/Source ID: 81484263;,$1%198%222,09/10/2015:$875%000:Posting Removed;09/09/2015:$865%000:Sold;08/06/2015:$875%000:Pending;07/14/2015:$875%000:Listed For Sale,Year:2018;Tax:$10%642;Assessment:;Land:$624%240;Improvements:$275%706;Total:$899%946,?,?,?,$448/sqft,Built in 1965
606,606,California,CA,95003,Santa Cruz County,Aptos,981 Clubhouse Dr,36.95948,-121.87968000000001,Single Family Home;Lot Size: 9%670 sqft;Built in 1983;MLS/Source ID: 256030979;,$1%343%087,06/12/2012:$690%000:Sold;05/15/2012:$719%000:Posting Removed;05/02/2012:$719%000:Price Change:$30%500: (-4%);04/01/2012:$749%500:Listed For Sale;05/29/2009:$719%000:Posting Removed;05/27/2009:$665%000:Sold;04/23/2009:$719%000:Listed For Sale,Year:2018;Tax:$9%148;Assessment:;Land:$457%017;Improvements:$304%678;Total:$761%695,?,?,?,?,Built in 1983
607,607,California,CA,95003,Santa Cruz County,Aptos,1000 Clubhouse Dr,36.95975,-121.88022,3 Beds;2 Baths;1%714 sqft;Single Family Home;$429/sqft;9%801 sqft lot size;Built in 1961;County: Santa Cruz;Tax Rate Code Area: 69-273;7 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Land Use Code: Single Family Residential;,$1%199%209,06/14/2015:$1%169%000:Posting Removed;06/12/2015:$1%169%000:Listed For Sale;06/03/2015:$735%000:Sold,Year:2018;Tax:$9%382;Assessment:;Land:$582%267;Improvements:$194%089;Total:$776%356,3 Beds,2 Baths,1%714 sqft,$429/sqft,Built in 1961
608,608,California,CA,95003,Santa Cruz County,Aptos,1001 Clubhouse Dr,36.95936,-121.8799,Single Family Home;Lot Size: 8%015 sqft;Built in 1971;180+ Days on Trulia;,$1%322%854,08/08/2010:$999%500:Posting Removed;12/22/2009:$999%500:Listed For Sale;10/11/2008:$999%500:Posting Removed;09/26/2008:$999%500:Price Change:$129%500: (-11%);09/20/2008:$1%129%000:Listed For Sale;12/19/2000:$425%000:Sold;07/23/1998:$317%000:Sold,Year:2018;Tax:$7%075;Assessment:;Land:$337%703;Improvements:$225%134;Total:$562%837,?,?,?,?,Built in 1971
609,609,California,CA,95003,Santa Cruz County,Aptos,1010 Clubhouse Dr,36.95962,-121.88045,3 Beds;2 Baths;1%596 sqft;Single Family Home;7%797 sqft lot size;Built in 1961;County: Santa Cruz;Tax Rate Code Area: 69-273;6 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Wood Shake/ Shingles;Land Use Code: Single Family Residential;,$1%089%778,06/09/2017:$350%000:Sold,Year:2018;Tax:$6%368;Assessment:;Land:$369%286;Improvements:$135%128;Total:$504%414,3 Beds,2 Baths,1%596 sqft,?,Built in 1961
610,610,California,CA,95003,Santa Cruz County,Aptos,1015 Clubhouse Dr,36.95926,-121.8801,Single Family Home;$285/sqft;Lot Size: 8%015 sqft;Built in 1974;180+ Days on Trulia;MLS/Source ID: ML81472567;,$1%304%103,10/30/2015:$749%000:Posting Removed;10/30/2015:$750%000:Sold;10/01/2015:$749%000:Pending;09/25/2015:$749%000:Price Change:$50%000: (-6%);08/23/2015:$799%000:Price Change:$30%000: (-4%);06/24/2015:$829%000:Price Change:$100%000: (-11%);06/12/2015:$929%000:Listed For Sale,Year:2018;Tax:$9%425;Assessment:;Land:$546%210;Improvements:$234%090;Total:$780%300,?,?,?,$285/sqft,Built in 1974
611,611,California,CA,95003,Santa Cruz County,Aptos,1030 Clubhouse Dr,36.9595,-121.88067,Single Family Home;$280/sqft;Lot Size: 8%886 sqft;Built in 1961;Detached Single Family% 2 Stories Architecture;MLS/Source ID: 81319690;,$1%356%729,09/04/2013:$865%000:Sold;08/24/2013:$899%000:Posting Removed;08/01/2013:$899%000:Pending;06/06/2013:$899%000:Listed For Sale,Year:2018;Tax:$11%064;Assessment:;Land:$559%155;Improvements:$372%770;Total:$931%925,?,?,?,$280/sqft,Built in 1961
612,612,California,CA,95003,Santa Cruz County,Aptos,1031 Clubhouse Dr,36.95915,-121.8803,Single Family Home;Lot Size: 7%971 sqft;Built in 1964;180+ Days on Trulia;MLS/Source ID: 550229;,$1%350%512,07/19/1996:$185%000:Sold;01/02/1996:$230%000:Sold,Year:2018;Tax:$10%100;Assessment:;Land:$677%061;Improvements:$165%704;Total:$842%765,?,?,?,?,Built in 1964
613,613,California,CA,95003,Santa Cruz County,Aptos,1040 Clubhouse Dr,36.959379999999996,-121.8809,2 Beds;2 Baths;1%680 sqft;Single Family Home;$387/sqft;8%625 sqft lot size;Built in 1967;County: Santa Cruz;Tax Rate Code Area: 69-273;6 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Wood Shake/ Shingles;Land Use Code: Single Family Residential;,$1%100%984,04/12/2010:$712%000:Sold;03/19/2004:$650%000:Sold,Year:2018;Tax:$9%722;Assessment:;Land:$525%030;Improvements:$282%708;Total:$807%738,2 Beds,2 Baths,1%680 sqft,$387/sqft,Built in 1967
614,614,California,CA,95003,Santa Cruz County,Aptos,1041 Clubhouse Dr,36.95902,-121.88051999999999,Single Family Home;$619/sqft;Lot Size: 0.25 acres;Built in 1965;180+ Days on Trulia;Heating: Forced Air;Washer;Microwave;Dishwasher;Skylight;Double Paned Windows;Parking: Attached Garage;Rv Parking;Attic;Security System;Patio;Lawn;Garden;Sprinkler System;Disabled Access;See Virtual Tour,$1%085%720,09/28/2015:$1%000%000:Sold;09/10/2015:$965%000:Posting Removed;07/28/2015:$965%000:Pending;07/21/2015:$965%000:Listed For Sale;10/21/2004:$759%000:Sold,Year:2018;Tax:$12%236;Assessment:;Land:$780%300;Improvements:$260%100;Total:$1%040%400,?,?,?,$619/sqft,Built in 1965
615,615,California,CA,95003,Santa Cruz County,Aptos,1051 Clubhouse Dr,36.958870000000005,-121.88077,4 Beds;4 Baths;3%485 sqft;Single Family Home;$212/sqft;0.3 acres lot size;Built in 1971;County: Santa Cruz;Tax Rate Code Area: 69-273;10 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 3;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%448%219,11/12/1999:$739%000:Sold,Year:2018;Tax:$11%780;Assessment:;Land:$405%244;Improvements:$593%006;Total:$998%250,4 Beds,4 Baths,3%485 sqft,$212/sqft,Built in 1971
616,616,California,CA,95003,Santa Cruz County,Aptos,1060 Clubhouse Dr,36.95925,-121.88116000000001,Single Family Home;Lot Size: 10%585 sqft;Built in 1961;180+ Days on Trulia;MLS/Source ID: 418073;,$1%203%380,10/14/2004:$829%000:Sold;07/07/1999:$496%000:Sold,Year:2018;Tax:$11%968;Assessment:;Land:$643%161;Improvements:$372%422;Total:$1%015%583,?,?,?,?,Built in 1961
617,617,California,CA,95003,Santa Cruz County,Aptos,1159 Clubhouse Dr,36.95787,-121.88165,5 Beds;6 Baths;3%768 sqft;Single Family Home;$265/sqft;0.25 acres lot size;Built in 1971;County: Santa Cruz;Tax Rate Code Area: 69-267;10 Rooms;Parking: Garage;Parking Spaces: 2;Units: 1;Land Use Code: Single Family Residential;,$2%380%031,07/31/2015:$998%000:Sold,Year:2018;Tax:$12%192;Assessment:;Land:$674%907;Improvements:$363%412;Total:$1%038%319,5 Beds,6 Baths,3%768 sqft,$265/sqft,Built in 1971
618,618,California,CA,95003,Santa Cruz County,Aptos,1175 Clubhouse Dr,36.957679999999996,-121.88176999999999,Single Family Home;$455/sqft;Lot Size: 0.31 acres;Built in 1985;180+ Days on Trulia;12 Rooms;Rooms: Breakfast Nook% Dining Room% Family Room% Laundry Room;Heating: Forced Air;Heating Fuel: Gas;Floors: Hardwood;Fireplace;Skylight;Vaulted Ceiling;Jetted Bath Tub;Garage;Parking Spaces: 2;Stories: 2;Roof: Composition;Year Updated: 1985;Deck;Garden;Pool;Hot Tub or Spa;MLS/Source ID: ML81677531;See Virtual Tour,$1%579%961,11/15/2017:$1%450%000:Posting Removed;11/15/2017:$1%400%000:Sold;10/16/2017:$1%450%000:Pending;09/28/2017:$1%450%000:Price Change:$45%000: (-3%);09/12/2017:$1%495%000:Listed For Sale,Year:2018;Tax:$16%176;Assessment:;Land:$840%000;Improvements:$560%000;Total:$1%400%000,?,?,?,$455/sqft,Built in 1985
619,619,California,CA,95003,Santa Cruz County,Aptos,1191 Clubhouse Dr,36.95754,-121.882,4 Beds;2.5 Baths;2%762 sqft;Single Family Home;$148/sqft;10%193 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 69-267;8 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Stories: 2 story;Construction Type: Frame;Ranch/Rambler;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%949%774,11/01/1996:$408%000:Sold,Year:2018;Tax:$7%645;Assessment:;Land:$300%599;Improvements:$316%927;Total:$617%526,4 Beds,2.5 Baths,2%762 sqft,$148/sqft,Built in 1977
620,620,California,CA,95003,Santa Cruz County,Aptos,1205 Clubhouse Dr,36.95738,-121.8822,Single Family Home;$357/sqft;Lot Size: 10%716 sqft;Built in 1974;180+ Days on Trulia;Rooms: Dining Room;Refrigerator;Microwave;Dishwasher;Disposal;Floors: Carpet% Hardwood% Tile;Fireplace;Parking: Other;Cable Ready;MLS/Source ID: ML81651641;,$2%384%552,07/27/2017:$1%000%000:Sold,Year:2018;Tax:$11%854;Assessment:;Land:$700%000;Improvements:$300%000;Total:$1%000%000,?,?,?,$357/sqft,Built in 1974
621,621,California,CA,95003,Santa Cruz County,Aptos,1271 Clubhouse Dr,36.95687,-121.883,Condo;Lot Size: 871 sqft;Built in 1973;180+ Days on Trulia;MLS/Source ID: ML81640362;,$787%021,04/18/2017:$765%000:Posting Removed;04/18/2017:$740%000:Sold;03/17/2017:$765%000:Pending;02/28/2017:$765%000:Listed For Sale;07/29/1997:$244%000:Sold,Year:2018;Tax:$9%091;Assessment:;Land:$528%360;Improvements:$226%440;Total:$754%800,?,?,?,?,Built in 1973
622,622,California,CA,95003,Santa Cruz County,Aptos,1275 Clubhouse Dr,36.95686,-121.88309,Condo;Lot Size: 871 sqft;$425/monthly HOA;Built in 1973;Rooms: Dining Room% Laundry Room% Family Room% Living Room% Kitchen% Bedroom;Great Views;Fireplace;Vaulted Ceiling;Courtyard;Barbeque Area;Foundation Type: Concrete perimeter and slab;Roof: Composition Shingle;MLS/Source ID: 81461894;,$773%436,06/19/2015:$719%000:Posting Removed;06/19/2015:$719%000:Sold;04/30/2015:$719%000:Pending;04/25/2015:$719%000:Listed For Sale;12/05/2013:$719%500:Posting Removed;08/20/2013:$719%500:Listed For Sale;01/12/2006:$675%000:Sold,Year:2018;Tax:$9%065;Assessment:;Land:$569%591;Improvements:$189%864;Total:$759%455,?,?,?,?,Built in 1973
623,623,California,CA,95003,Santa Cruz County,Aptos,1279 Clubhouse Dr,36.95681,-121.88314,Condo;$625/sqft;Lot Size: 741 sqft;$470/monthly HOA;Built in 1973;180+ Days on Trulia;Fireplace;Parking: Other;Pool;MLS/Source ID: ML81647731;,$830%219,05/01/2017:$939%900:Posting Removed;04/22/2017:$939%900:Listed For Sale;09/09/2009:$620%000:Sold;09/12/2003:$563%000:Sold,Year:2018;Tax:$8%459;Assessment:;Land:$422%020;Improvements:$281%346;Total:$703%366,?,?,?,$625/sqft,Built in 1973
624,624,California,CA,95003,Santa Cruz County,Aptos,1283 Clubhouse Dr,36.956759999999996,-121.88318999999998,Condo;$2/sqft;Lot Size: 741 sqft;180+ Days on Trulia;Washer Dryer Hookup;Refrigerator;Microwave;Fireplace;Parking: Attached Garage;Garage;Patio;Lawn;Pool;,$1%093%930,05/24/1996:$245%000:Sold,Year:2018;Tax:$2%145;Assessment:;Land:$45%262;Improvements:$66%737;Total:$111%999,?,?,?,?,?
625,625,California,CA,95003,Santa Cruz County,Aptos,1287 Clubhouse Dr,36.95674,-121.88326,Condo;Lot Size: 871 sqft;Built in 1973;Condominium% Low Rise (1-3 Stories)% Contemporary Architecture;MLS/Source ID: 81339386;,$787%835,02/05/2014:$529%000:Sold;02/01/2014:$539%000:Posting Removed;11/24/2013:$539%000:Price Change:$10%000: (-2%);10/30/2013:$549%000:Listed For Sale,Year:2018;Tax:$7%093;Assessment:;Land:$341%957;Improvements:$227%972;Total:$569%929,?,?,?,?,Built in 1973
626,626,California,CA,95003,Santa Cruz County,Aptos,1291 Clubhouse Dr,36.956720000000004,-121.88333999999999,Condo;Lot Size: 871 sqft;Built in 1973;MLS/Source ID: 635628;,$785%011,07/19/2006:$740%000:Sold;02/22/2002:$419%000:Sold;09/18/1998:$235%000:Sold,Year:2018;Tax:$9%741;Assessment:;Land:$571%057;Improvements:$243%943;Total:$815%000,?,?,?,?,Built in 1973
627,627,California,CA,95003,Santa Cruz County,Aptos,1295 Clubhouse Dr,36.9567,-121.88341000000001,Condo;Lot Size: 871 sqft;Built in 1973;180+ Days on Trulia;MLS/Source ID: ML81546568;See Virtual Tour,$773%571,03/10/2017:$732%000:Sold;04/09/2016:$739%000:Posting Removed;01/11/2016:$739%000:Listed For Sale;09/01/2015:$739%000:Posting Removed;06/06/2015:$739%000:Listed For Sale;06/29/2007:$680%000:Sold,Year:2018;Tax:$9%003;Assessment:;Land:$559%980;Improvements:$186%660;Total:$746%640,?,?,?,?,Built in 1973
628,628,California,CA,95003,Santa Cruz County,Aptos,1299 Clubhouse Dr,36.95661,-121.88342,Condo;$438/sqft;Lot Size: 784 sqft;Built in 1973;Foundation Type: Concrete Perimeter;Roof: Composition;MLS/Source ID: ML81037710;,$803%283,11/13/2011:$599%999:Posting Removed;10/14/2011:$599%999:Price Change:$29%001: (-5%);08/15/2011:$629%000:Price Change:$10%000: (-2%);07/15/2011:$639%000:Listed For Sale;09/30/2010:$659%000:Posting Removed;09/17/2010:$659%000:Price Change:$10%000: (-1%);08/02/2010:$669%000:Listed For Sale;09/30/2009:$645%000:Sold;09/20/2005:$777%000:Sold;09/08/1995:$235%000:Sold,Year:2018;Tax:$8%841;Assessment:;Land:$439%037;Improvements:$292%692;Total:$731%729,?,?,?,$438/sqft,Built in 1973
629,629,California,CA,95003,Santa Cruz County,Aptos,1327 Clubhouse Dr,36.9566,-121.88412,Single Family Home;Lot Size: 7%187 sqft;Built in 1972;180+ Days on Trulia;,$2%761%119,04/29/2011:$875%000:Sold;04/10/2011:$899%000:Posting Removed;03/24/2011:$899%000:Price Change:$100%000: (-10%);02/16/2011:$999%000:Price Change:$300%000: (-23%);09/17/2010:$1%299%000:Price Change:$100%000: (-7%);05/29/2010:$1%399%000:Price Change:$100%000: (-7%);03/26/2010:$1%499%000:Listed For Sale,Year:2018;Tax:$11%619;Assessment:;Land:$541%882;Improvements:$443%358;Total:$985%240,?,?,?,?,Built in 1972
630,630,California,CA,95003,Santa Cruz County,Aptos,1330 Clubhouse Dr,36.95704,-121.88418999999999,Townhouse;$632/sqft;Lot Size: 2%831 sqft;$475/monthly HOA;Built in 1969;180+ Days on Trulia;Rooms: Breakfast Nook% Family Room% Office;Heating: Forced Air;Cooling System: Central;Washer;Dryer;Dishwasher;Floors: Carpet% Concrete% Tile;Garage;Parking Spaces: 1;Exterior: Wood;MLS/Source ID: 495458;,$1%009%572,02/16/2018:$815%000:Sold;01/19/2018:$815%000:Posting Removed;01/17/2018:$815%000:Listed For Sale;09/21/2012:$480%000:Sold;07/26/2012:$535%000:Posting Removed;06/02/2012:$535%000:Price Change:$10%000: (-2%);04/15/2012:$545%000:Listed For Sale,Year:2018;Tax:$6%548;Assessment:;Land:$303%034;Improvements:$216%452;Total:$519%486,?,?,?,$632/sqft,Built in 1969
631,631,California,CA,95003,Santa Cruz County,Aptos,140 Coates Dr,36.975570000000005,-121.91657,2 Beds;1.5 Baths;1%829 sqft;Single Family Home;$166/sqft;4%095 sqft lot size;Built in 1973;County: Santa Cruz;Tax Rate Code Area: 69-270;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Stories: 2 story;Roof: Shingle (Not Wood);Land Use Code: Single Family Residential;,$1%217%387,04/28/1995:$304%500:Sold,Year:2018;Tax:$5%848;Assessment:;Land:$224%725;Improvements:$224%725;Total:$449%450,2 Beds,1.5 Baths,1%829 sqft,$166/sqft,Built in 1973
632,632,California,CA,95003,Santa Cruz County,Aptos,143 Coates Dr,36.975570000000005,-121.91685,2 Beds;1 Bath;576 sqft;Single Family Home;$868/sqft;2%570 sqft lot size;Built in 1957;County: Santa Cruz;Tax Rate Code Area: 69-270;Heating: Floor/Wall;Parking: Carport;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$783%025,07/10/2007:$500%000:Sold,Year:2018;Tax:$640;Assessment:;Land:$14%749;Improvements:$25%186;Total:$39%935,2 Beds,?,576 sqft,$868/sqft,Built in 1957
633,633,California,CA,95003,Santa Cruz County,Aptos,149 Coates Dr,36.9759,-121.91684,3 Beds;2 Baths;1%732 sqft;Single Family Home;$201/sqft;3%006 sqft lot size;Built in 1986;County: Santa Cruz;Tax Rate Code Area: 69-270;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%030%492,07/16/1996:$347%500:Sold,Year:2018;Tax:$6%291;Assessment:;Land:$229%028;Improvements:$268%392;Total:$497%420,3 Beds,2 Baths,1%732 sqft,$201/sqft,Built in 1986
634,634,California,CA,95003,Santa Cruz County,Aptos,151 Coates Dr,36.976,-121.91683,2 Beds;1 Bath;880 sqft;Single Family Home;$222/sqft;2%875 sqft lot size;Built in 1950;County: Santa Cruz;Tax Rate Code Area: 69-270;Heating: Floor/Wall;Units: 1;Stories: 1 story;Construction Type: Frame;Bungalow;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$809%754,10/04/1994:$195%000:Sold,Year:2018;Tax:$4%027;Assessment:;Land:$206%677;Improvements:$81%196;Total:$287%873,2 Beds,?,880 sqft,$222/sqft,Built in 1950
635,635,California,CA,95003,Santa Cruz County,Aptos,304 Coates Dr,36.97435,-121.91308000000001,Single Family Home;$642/sqft;Lot Size: 3%615 sqft;Built in 1968;180+ Days on Trulia;MLS/Source ID: ML81592025;,$835%644,09/27/2016:$720%000:Sold,Year:2018;Tax:$8%927;Assessment:;Land:$587%520;Improvements:$146%880;Total:$734%400,?,?,?,$642/sqft,Built in 1968
636,636,California,CA,95003,Santa Cruz County,Aptos,306 Coates Dr,36.97425,-121.91317,Single Family Home;$509/sqft;Lot Size: 2%962 sqft;Built in 1989;Detached Single Family% 2 Stories% Cape Cod Architecture;MLS/Source ID: 81215754;,$996%978,12/31/2012:$803%000:Sold,Year:2018;Tax:$10%382;Assessment:;Land:$521%434;Improvements:$347%622;Total:$869%056,?,?,?,$509/sqft,Built in 1989
637,637,California,CA,95003,Santa Cruz County,Aptos,311 Coates Dr,36.97384,-121.91308000000001,Single Family Home;Lot Size: 2%919 sqft;Built in 1947;Foundation Type: Post & Pier;Roof: Composition;MLS/Source ID: ML80952631;,$815%741,03/08/2010:$525%000:Sold,Year:2018;Tax:$7%530;Assessment:;Land:$482%146;Improvements:$130%336;Total:$612%482,?,?,?,?,Built in 1947
638,638,California,CA,95003,Santa Cruz County,Aptos,312 Coates Dr,36.97397,-121.9134,Single Family Home;$909/sqft;Lot Size: 3%049 sqft;Built in 1954;180+ Days on Trulia;Rooms: Dining Room;Heating: Forced Air;Dishwasher;Floors: Carpet% Linoleum Vinyl;Carport;Bungalow Architecture;Roof: Composition;MLS/Source ID: 81695335;,$776%745,04/27/2018:$750%000:Sold,Year:2018;Tax:$1%440;Assessment:;Land:$18%818;Improvements:$23%160;Total:$41%978,?,?,?,$909/sqft,Built in 1954
639,639,California,CA,95003,Santa Cruz County,Aptos,314 Coates Dr,36.97388,-121.91348,3 Beds;2.5 Baths;1%636 sqft;Single Family Home;$440/sqft;3%093 sqft lot size;Built in 1984;County: Santa Cruz;Tax Rate Code Area: 69-273;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Shingle (Not Wood);Land Use Code: Single Family Residential;,$1%083%775,06/25/2002:$720%000:Sold,Year:2018;Tax:$11%876;Assessment:;Land:$649%178;Improvements:$358%524;Total:$1%007%702,3 Beds,2.5 Baths,1%636 sqft,$440/sqft,Built in 1984
640,640,California,CA,95003,Santa Cruz County,Aptos,316 Coates Dr,36.9738,-121.91356,1 Bed;2 Baths;808 sqft;Single Family Home;$208/sqft;3%093 sqft lot size;Built in 1950;County: Santa Cruz;Tax Rate Code Area: 69-273;Heating: Floor/Wall;Parking: Carport;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$808%815,06/10/1997:$168%000:Sold,Year:2018;Tax:$3%578;Assessment:;Land:$214%713;Improvements:$25%050;Total:$239%763,?,2 Baths,808 sqft,$208/sqft,Built in 1950
641,641,California,CA,95003,Santa Cruz County,Aptos,317 Coates Dr,36.9735,-121.9134,2 Beds;1 Bath;932 sqft;Single Family Home;$326/sqft;3%136 sqft lot size;Built in 1969;County: Santa Cruz;Tax Rate Code Area: 69-273;Heating: Floor/Wall;Units: 1;Roof: Shingle (Not Wood);Land Use Code: Single Family Residential;,$788%381,03/31/1995:$304%000:Sold,Year:2018;Tax:$5%836;Assessment:;Land:$224%394;Improvements:$224%394;Total:$448%788,2 Beds,?,932 sqft,$326/sqft,Built in 1969
642,642,California,CA,95003,Santa Cruz County,Aptos,318 Coates Dr,36.97371,-121.91365,Single Family Home;$2/sqft;Lot Size: 3%136 sqft;Built in 1976;180+ Days on Trulia;Rooms: Dining Room;Heating: Forced Air;Washer;Refrigerator;Microwave;Dishwasher;Disposal;Fireplace;Vaulted Ceiling;Parking: Attached Garage;Patio;Lawn;,$958%624,01/02/2004:$755%000:Sold,Year:2018;Tax:$11%181;Assessment:;Land:$649%776;Improvements:$293%649;Total:$943%425,?,?,?,?,Built in 1976
643,643,California,CA,95003,Santa Cruz County,Aptos,320 Coates Dr,36.973620000000004,-121.91372,4 Beds;2 Baths;1%400 sqft;Single Family Home;$361/sqft;3%049 sqft lot size;Built in 1950;County: Santa Cruz;Tax Rate Code Area: 69-273;Heating: Floor/Wall;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$896%216,10/02/2001:$505%000:Sold;10/18/1996:$228%000:Sold,Year:2018;Tax:$13%414;Assessment:;Land:$950%000;Improvements:$200%000;Total:$1%150%000,4 Beds,2 Baths,1%400 sqft,$361/sqft,Built in 1950
